연번,상호,주소,전화번호,사업종류
1,㈜지원네트웍스 부산강서LPG충전소,부산광역시 강서구 낙동북로 310,051-972-0245,LPG충전소
2,가락충전소,부산광역시 강서구 호계로 195,051-971-3430,LPG충전소
3,개인택시 신공항LPG충전소,부산광역시 강서구 경전철로188번길 95,051-941-3485,LPG충전소
4,르노삼성자동차㈜,부산광역시 강서구 르노삼성대로 61,051-979-9085,LPG충전소
5,부산공항LPG충전소,부산광역시 강서구 공항로 459,051-973-4036,LPG충전소
6,신명지에너지,부산광역시 강서구 르노삼성대로 560,051-271-2464,LPG충전소
7,신항만에너지,부산광역시 강서구 낙동남로 507,051-973-7625,LPG충전소
8,㈜삼성에너지 대저충전소,부산광역시 강서구 체육공원로 24,051-941-9808,LPG충전소
9,죽림LPG충전소,부산광역시 강서구 호계로 102,051-941-2020,LPG충전소
10,신항만충전소,부산광역시 강서구 송정동 산71-2,051-831-8219,LPG충전소
1,동방석유㈜직영 대저주유소,부산광역시 강서구 낙동북로 209,051-971-2035,주유소
2,한솔에너지상사(주) 명품주유소,부산광역시 강서구 대저로 235,051-941-0052,주유소
3,명지주유소,부산광역시 강서구 낙동남로 1042,051-271-2828,주유소
4,만선주유소,부산광역시 강서구 가락대로210번길 102 ,051-831-9171,주유소
5,만은에너지(주)대사리주유소,부산광역시 강서구 낙동북로 65,051-973-5999,주유소
6,SK에너지(주)새부산주유소,부산광역시 강서구 낙동북로 42,051-971-8484,주유소
7,㈜비에스이 직영 강동주유소,부산광역시 강서구 낙동북로 18,051-973-5152,주유소
8,(주)우보주유소,부산광역시 강서구 낙동북로 142,051-971-9034,주유소
9,김해공항주유소,부산광역시 강서구 공항진입로 25,051-973-8291,주유소
10,오봉주유소,부산광역시 강서구 호계로 1,051-972-5177,주유소
11,가락제일주유소,부산광역시 강서구 가락대로 1417,051-971-2727,주유소
12,이왕주유소,부산광역시 강서구 공항로 1423 ,051-972-9007,주유소
13,금룡주유소,부산광역시 강서구 가락대로 1361,051-972-6081,주유소
14,평강주유소,부산광역시 강서구 평강로 309,051-971-4411,주유소
15,부산축산농협주유소,부산광역시 강서구 낙동남로 448,051-973-8141,주유소
16,유성에너지㈜ 풍경주유소,부산광역시 강서구 낙동남로 432 ,051-972-9674,주유소
17,㈜경인에너지,부산광역시 강서구 생곡로 40,051-971-5013,주유소
18,녹산주유소,부산광역시 강서구 낙동남로 700,051-972-1010,주유소
19,우리들주유소,부산광역시 강서구 낙동남로 667,051-941-5145,주유소
20,공항대로주유소,부산광역시 강서구 공항로 1217,051-973-8122,주유소
21,은마석유(주) 강서주유소,부산광역시 강서구 공항로 483,051-973-5104,주유소
22,세기상사㈜ 공항주유소,부산광역시 강서구 공항로 469,051-973-4100,주유소
23,맥도주유소,부산광역시 강서구 공항로 381,051-973-5735,주유소
24,㈜시큐,부산광역시 강서구 체육공원로 66,051-941-5151,주유소
25,(주)범방주유소,부산광역시 강서구 가락대로 963,051-971-3337,주유소
26,광신석유㈜ 명지주유소,부산광역시 강서구 르노삼성대로 372,051-271-4405,주유소
27,극동유화㈜고려주유소 명지,부산광역시 강서구 르노삼성대로 586,051-201-5181,주유소
28,씨제이대한통운㈜직영성민주유소,부산광역시 강서구 가락대로 389,051-832-1611,주유소
29,명지대교주유소,부산광역시 강서구 르노삼성대로 572,051-271-1233,주유소
30,은마석유(주) 경기장주유소,부산광역시 강서구 낙동북로 364,051-971-5115,주유소
31,㈜우양네트웍스 구도일주유소 삼광,부산광역시 강서구 공항로 799 ,051-943-4100,주유소
32,유성에너지㈜ 부강주유소,부산광역시 강서구 낙동남로 127,051-831-5679,주유소
33,녹산화물터미널주유소,부산광역시 강서구 녹산산업북로 119,051-941-3015,주유소
34,대양석유(주) 한마음주유소,부산광역시 강서구 르노삼성대로 604,051-271-2452,주유소
35,대양산업(주)대양가덕주유소,부산광역시 강서구 거가대로 2571,051-715-2201,주유소
36,주식회사 신항만주유소,부산광역시 강서구 가락대로1243번길 68,051-973-0935,주유소
37,내트럭㈜부산신항남컨사업소,부산광역시 강서구 신항남로 507 ,051-941-9800,주유소
38,㈜신항만에너지,부산광역시 강서구 낙동남로 501,051-973-7622,주유소
39,㈜우양네트웍스 송산주유소,부산광역시 강서구 호계로 200,051-973-7583,주유소
40,SK에너지㈜ 경마장주유소,부산광역시 강서구 가락대로 1027,051-971-5188,주유소
