대표자이름,상호,주소
김종석,센텀타이거주유소,부산광역시 수영구 민락본동로 30 (민락동)
이윤기,인성주유소,부산광역시 수영구 연수로 250 (망미동)
이현웅,(주)호유,부산광역시 수영구 좌수영로 151 (망미동)
이현웅,(주)청유주유소,부산광역시 수영구 좌수영로 147 (망미동)
안승배,신영주유소,부산광역시 수영구 과정로 23 (망미동)
안승배,(주)세왕에너지,부산광역시 수영구 광남로 176 (민락동)
유성학,세일석유(주)광안리주유소,부산광역시 수영구 광남로 83 (광안동)
박영원,금호주유소,부산광역시 수영구 과정로 4 (망미동)
"허세홍, 이두희",지에스칼텍스(주)언덕주유소,부산광역시 수영구 연수로 239 (망미동)
"김종석, 신현숙",마린타이거주유소,부산광역시 수영구 광남로 241 (민락동)
윤석기,유원주유소,부산광역시 수영구 광일로 8 (광안동)
정준득,땡큐망미주유소,부산광역시 수영구 연수로 254 (망미동)
김위택,금련산주유소,부산광역시 수영구 수영로 491 (남천동)
조경목,SK에너지(주)강일주유소,부산광역시 수영구 연수로 411 (수영동)
"허세홍, 이두희",지에스칼텍스(주)부산주유소,부산광역시 수영구 수영로 558 (광안동)
정연택,대영주유소[대양산업(주)],부산광역시 수영구 수영로 731 (수영동)
