번호,상호,주소,연락처,구분
1,세일석유(주)송정역주유소,부산광역시 해운대구 해운대로 1217 (송정동),051-717-3070,주유소
2,해운대센텀주유소,부산광역시 해운대구 수영강변대로 276 (재송동),051-784-5182,주유소
3,광신석유(주)해운대중동주유소,부산광역시 해운대구 좌동로 18 (중동),051-731-7601,주유소
4,SC(주)장산IC주유소,"부산광역시 해운대구 양운로 107, SC(주)장산IC주유소 (좌동)",051-704-5188,주유소
5,지에스칼텍스(주)해운대중동주유소,"부산광역시 해운대구 좌동로 34 (중동,외1필지(305-1))",051-731-5713,주유소
6,광득에너지(주) 반송스마일주유소,"부산광역시 해운대구 반송로 936, 행복가득셀프주유소 (반송동)",051-545-2741,주유소
7,(주)은성석유반송제일주유소,부산광역시 해운대구 반송로 780 (석대동),051-531-3885,주유소
8,(주)조은하루주유소,"부산광역시 해운대구 해운대로 551, 조은하루 주유소 (우동)",051-741-5189,주유소
9,송정파크주유소,부산광역시 해운대구 해운대로 1088 (송정동),051-702-5813,주유소
10,양천석유(주) 덕진셀프주유소 반송점,부산광역시 해운대구 반송로 782 (석대동),051-531-5151,주유소
11,은마석유(주)삼양주유소,부산광역시 해운대구 수영강변대로 462 (반여동),051-704-5149,주유소
12,반송파크주유소,부산광역시 해운대구 해운대로 1249 (송정동),051-545-5151,주유소
13,동양가스산업(주)명품반송주유소,부산광역시 해운대구 석대천로 198 (반송동),051-522-2590,주유소
14,(주)이엠석유대흥주유소,부산광역시 해운대구 반송로 781 (석대동),051-731-3675,주유소
15,에스씨(주)센텀주유소,부산광역시 해운대구 좌동순환로 419 (주)이엠석유대흥주유소 (중동),051-527-4144,주유소
16,광신석유(주)수영강변대로주유소,부산광역시 해운대구 수영강변대로 504 (반여동),051-342-8300,주유소
17,지에스칼텍스(주)광안대로주유소,"부산광역시 해운대구 수영강변대로 568, 광신석유(주)직영 수영강변대로주유소 (반여동)",051-521-1436,주유소
18,SK에너지(주)신도시주유소,"부산광역시 해운대구 수영강변대로 590 (반여동,외1필지(735-60))",051-747-5182,주유소
19,SK에너지(주)돌고래주유소,부산광역시 해운대구 대천로 82 (중동),051-747-5190,주유소
20,(주)대양씨앤씨달맞이주유소,"부산광역시 해운대구 해운대로573번길 16, SK에너지(주)돌고래주유소 (우동)",051-747 8481,주유소
21,세일석유(주)구도일주유소 센텀시티,부산광역시 해운대구 달맞이길 57 (중동),051-742-0882,주유소
22,지에스칼텍스(주) 해운주유소,"부산광역시 해운대구 해운대로 285 (우동,외1필지(1229-16))",051-744-0185,주유소
23,동부산주유소,"부산광역시 해운대구 해운대로 615 (우동,외1필지(530-9))",051-543-1273,주유소
24,(주)유선주유소,"부산광역시 해운대구 반송로 875, 동부산주유소 (반송동)",051-704-0980,주유소
25,(주)하늘주유소,"부산광역시 해운대구 해운대로 415 (우동,외1필지(1058-1))",051-702-7293,주유소
26,한양브라보주유소,"부산광역시 해운대구 해운대로 1184 (송정동,외1필지(105-11))",051-703-451,주유소
27,해운대주유소,부산광역시 해운대구 해운대로 1178 (송정동),051-747-2526,주유소
28,신촌셀프주유소,부산광역시 해운대구 해운대로 1238 (송정동),051-528-6612,주유소
29,동해주유소,부산광역시 해운대구 좌동순환로 375 (중동),051-783-8660,주유소
30,늘푸른주유소,부산광역시 해운대구 반여로 153 (반여동),051-703-3443,주유소
31,에스씨(주)마리나타운주유소,부산광역시 해운대구 재반로 163 (재송동),051-741-7030,주유소
32,SK에너지(주)마리나주유소,"부산광역시 해운대구 해운대로 1226 (송정동,외3필지(86-13,14,15))",051-747-5181,주유소
33,대양산업(주)동화주유소,부산광역시 해운대구 해운대해변로 44 (우동),051-781-4400,주유소
34,(주)OS에너지 해변주유소,부산광역시 해운대구 해운대로 345 (우동),051-747-7780,주유소
35,백천주유소,"부산광역시 해운대구 해운대로 211 (재송동,외4필지(652-6,652-8,660-14,660-15))",051 542 7979,주유소
36,현대오일뱅크(주) 직영 센텀셀프주유소,"부산광역시 해운대구 해운대로 592, 해변주유소 (우동)",051-784-0293,주유소
37,SK에너지(주)송정셀프주유소,부산광역시 해운대구 반송로 910 (반송동),051-704-0011,주유소
